match_id,team_a,team_b,date,winner,match_score,game_scores,mvp
1075287239166001177,Gr,成都Wolves,,Gr,2-0,4:4 | 5:3 | 7:2,Gr
1075312399077081094,北京WBG,成都GG,,北京WBG,2-0,6:2 | 5:3,
1075337881128534024,MRC,FPX.ZQ,,MRC,2-0,7:2 | 6:2,my.AmnCBoiLo
1075703511677665299,GW,ACT,,ACT,1-2,5:3 | 1:8 | 2:7,ACT_229
1075738227927678994,DOU5,成都GG,,成都GG,1-2,5:3 | 3:5 | 0:10,GG_xawm
1076015893255815188,MRC,TE,,MRC,2-0,7:2 | 6:3,
1076051051852857367,GW,FPX.ZQ,,FPX.ZQ,0-2,2:7 | 4:4 | 3:5,
1076073128001536021,DOU5,Gr,,Gr,0-2,2:7 | 1:8,JimGr
1077871241786818576,ACT,DOU5,,ACT,2-0,7:2 | 7:2,2z9
1077906512109633537,成都Wolves,GW,,Wolves,1-0,4:4 | 6:3 | 4:4,Wy.Woves487
1077940081566679065,FPX.ZQ,成都GG,,成都GG,1-2,3:6 | 5:3 | 2:6,GG_xawm
1078242064968187920,北京WBG,MRC,,MRC,0-2,2:7 | 2:6,BoiLu
1078277816293785608,GW,Gr,,GW战队,1-0,5:5 | 6:2 | 4:4,GW_tzym
1078300377783205889,TE,ACT,,TE战队,2-0,6:3 | 5:3,TE_ppei
1078612681998467090,北京WBG,Gr,,Gr,0-2,3:5 | 2:7,Hth
1078645998098579480,成都Wolves,成都GG,,Wolves,2-0,5:3 | 4:4 | 5:3,Wolves_xmx
1078679477362360326,TE,DOU5,,DOU5,1-1,4:4 | 6:2 | 2:7,DOUSmhxm
1080478506005037072,TE,成都GG,,TE战队,2-1,5:3 | 3:5 | 5:3,TE_kesy
1080503678787387399,DOU5,FPX.ZQ,,FPX.ZQ,0-2,3:6 | 3:5,W.X.z02.Dongx.
1080536500937949192,成都Wolves,MRC,,Wolves,1-1,5:5 | 3:5 | 6:2,ChoAiWolves
1080837969016782868,成都GG,Gr,,Gr,0-2,3:5 | 1:8,G
1080863820401868822,ACT,北京WBG,,北京WBG,0-2,3:6 | 3:6,WBG_nle
1080898751385567232,成都Wolves,TE,,TE战队,1-2,2:7 | 5:3 | 3:5,TE_ppei
1081209505130217512,北京WBG,FPX.ZQ,,北京WBG,2-0,7:2 | 5:3,WBG_nle
1081242408909275137,GW,MRC,,MRC,1-2,2:7 | 5:3 | 3:6,MRC_nanako
1081267659023056902,Gr,ACT,,Gr,2-0,10:0 | 5:3,Gr_AK
1083078065044586497,DOU5,GW,,DOU5,2-0,4:4 | 8:1 | 6:2,DOUSChen
1083099342276919296,FPX.ZQ,TE,,FPX.ZQ,2-0,7:2 | 6:3,FPX.ZQ_DDongx
1083144817417912345,成都Wolves,ACT,,Wolves,1-1,3:5 | 5:3 | 4:4 | 4:4,Wolves_487
1083447144434630664,MRC,Gr,,Gr,0-2,5:5 | 2:7 | 1:8,
1083479648788021265,成都Wolves,DOU5,,Wolves,2-0,7:2 | 4:4 | 8:1,ChoAiWolves
1083510344883634180,TE,北京WBG,,TE战队,2-1,7:2 | 3:5 | 5:3,DropTE.
1083806272446267413,GW,成都GG,,成都GG,0-2,3:6 | 2:7,GG_xawm
1083840563442090019,MRC,ACT,,MRC,2-1,6:3 | 3:5 | 5:3,MRC_nanako
1083902724521590789,Gr,FPX.ZQ,,Gr,2-0,4:4 | 10:0 | 5:3,Gr_Jin
1085671881689792528,GW,TE,,GW战队,1-1,3:5 | 4:4 | 6:2,XingChenGW
1085693416624357428,成都GG,ACT,,成都GG,2-0,5:3 | 5:3,GG_xawm
1085726496491831319,北京WBG,DOU5,,北京WBG,1-1,3:5 | 4:4 | 8:1,WBG_Persica.
1086040926712758272,成都GG,MRC,,成都GG,2-1,6:3 | 3:5 | 5:3,GG_xowm
1086083940823859273,ACT,FPX.ZQ,,FPX.ZQ,1-1,6:2 | 4:4 | 2:6 | 4:4,FPX.ZQ_Dongx
1086115603322765362,北京WBG,GW,,北京WBG,2-1,3:6 | 6:3 | 7:2,WBG_nle
1086414945394884615,FPX.ZQ,成都Wolves,,FPX.ZQ,1-1,6:3 | 3:5 | 4:4,FPX.ZQ_Dongxt
1086437493931245607,TE,Gr,,Gr,0-2,2:7 | 2:7,
1086459514257932292,DOU5,MRC,,MRC,0-2,1:8 | 3:5,MRC_Huac
1088267386257145860,GW,DOU5,,DOU5,0-1,3:5 | 4:4 | 4:4,bOUSCzoi
1088299697291919376,TE,FPX.ZQ,,TE战队,1-1,7:2 | 4:4 | 3:5,TEE_ppei
1088330505108062245,Gr,MRC,,Gr,1-0,4:4 | 6:3 | 4:4,rig
1088641555194970129,DOU5,成都Wolves,,Wolves,1-1,2:6 | 4:4 | 5:3,JellyWolves
1088672633605586944,ACT,MRC,,ACT,2-1,7:2 | 3:6 | 8:1,ACT_nobnog
1088706684105261073,FPX.ZQ,Gr,,Gr,0-2,3:6 | 4:4 | 2:6,
1089010772047036424,北京WBG,TE,,北京WBG,2-0,5:3 | 4:4 | 7:2,WBG_nle
1089045393823498256,ACT,成都Wolves,,Wolves,1-2,7:2 | 2:7 | 2:7,DKingWolves
1089076072724561929,成都GG,GW,,成都GG,2-1,5:3 | 3:5 | 5:3,GG_kucao
1090868731978973185,FPX.ZQ,ACT,,FPX.ZQ,1-0,4:4 | 5:5 | 8:1,Dongx.FpPx.ZQ_
1090902262768730118,GW,北京WBG,,北京WBG,0-2,2:6 | 4:4 | 3:6,WBG_nle
1090936029792174097,MRC,成都GG,,MRC,2-1,5:3 | 2:7 | 5:3,MRC_XC
1091238936696586274,TE,GW,,TE战队,1-1,3:6 | 8:1 | 4:4,TEE_ppei
1091271359366955024,ACT,成都GG,,ACT,2-1,5:3 | 2:6 | 7:2,ACT_z6zz
1091302884423761941,DOU5,北京WBG,,DOU5,1-0,4:4 | 4:4 | 7:2,DOUSmhxm
1091611121350082569,成都Wolves,FPX.ZQ,,Wolves,1-0,7:2 | 5:5 | 4:4,44
1091633154560622617,MRC,DOU5,,DOU5,0-2,3:5 | 2:7,ymhxm1.
