match_id,team_a,team_b,date,winner,match_score,game_scores,mvp
1103477862603685894,TE,成都GG,,成都GG,2-3,5:3 | 3:5 | 3:5 | 5:3 | 3:6,GG_xawm
1103539022956855364,Gr,MRC,,MRC,2-2,7:2 | 3:6 | 5:5 | 2:7 | 5:3,MRC_Bailu
1103596940600279063,成都Wolves,北京WBG,,北京WBG,1-2,5:5 | 5:3 | 3:5 | 2:7 | 4:4,WBG_NIe
1103878346797744134,成都Wolves,成都GG,,Wolves,3-1,6:3 | 7:2 | 2:6 | 4:4 | 7:2,Wolves_ChoRi
1103923495550582803,MRC,北京WBG,,北京WBG,0-3,4:4 | 3:5 | 3:5 | 3:6,WBG_nIe
1104250604547473417,Gr,成都Wolves,,Wolves,2-3,1:8 | 8:1 | 3:5 | 7:2 | 3:5,Wolves_ChoAi
1104308994581725190,成都Wolves,MRC,,Wolves,2-1,3:5 | 5:3 | 4:4 | 6:2 | 4:4,Wolves_Jelly
1152464541612769314,TE,FPX.ZQ,,TE战队,3-1,5:3 | 4:4 | 5:3 | 1:8 | 5:3,TE_ppei
1152500456135589888,Gr,北京WBG,,Gr,3-0,5:3 | 5:3 | 5:3,Gr_Jin..
1152555590575194130,MRC,成都Wolves,,MRC,2-1,2:7 | 8:1 | 4:4 | 4:4 | 5:3,MRC_XiaoX5
1152859846066831377,TE,北京WBG,,TE战队,3-1,6:2 | 5:3 | 4:4 | 3:5 | 7:2,TE_Maom
1152913623359684627,MRC,Gr,,MRC,3-1,5:3 | 1:8 | 8:1 | 5:5 | 5:3,MRC_BaiLu
1153233718701195270,成都Wolves,TE,,Wolves,2-1,4:4 | 2:7 | 6:2 | 5:3 | 4:4,Wolves_Chohi
1153294887590821897,Gr,成都Wolves,,Gr,2-0,4:4 | 4:4 | 6:3 | 4:4 | 7:2,brIn
