week,date,team_a,team_b
1,6/5,TE,MRC
1,6/5,FPX.ZQ,GR
1,6/5,WBG,Wolves
1,6/6,FPX.ZQ,MRC
1,6/6,ACT,GW
1,6/6,GR,DOU5
1,6/7,ACT,GG
1,6/7,TE,DOU5
1,6/7,GW,WBG
2,6/12,GW,GR
2,6/12,DOU5,Wolves
2,6/12,WBG,MRC
2,6/13,GG,Wolves
2,6/13,TE,WBG
2,6/13,FPX.ZQ,ACT
2,6/14,MRC,GR
2,6/14,TE,FPX.ZQ
2,6/14,GG,DOU5
3,6/19,MRC,GW
3,6/19,ACT,DOU5
3,6/19,GG,TE
3,6/20,FPX.ZQ,WBG
3,6/20,ACT,GR
3,6/20,Wolves,GW
3,6/21,WBG,GG
3,6/21,GR,Wolves
3,6/21,FPX.ZQ,DOU5
4,6/26,WBG,DOU5
4,6/26,GW,GG
4,6/26,Wolves,MRC
4,6/27,ACT,TE
4,6/27,DOU5,MRC
4,6/27,FPX.ZQ,GG
4,6/28,Wolves,ACT
4,6/28,WBG,GR
4,6/28,GW,TE
5,7/3,DOU5,GW
5,7/3,GR,GG
5,7/3,MRC,ACT
5,7/4,GR,TE
5,7/4,FPX.ZQ,Wolves
5,7/4,GG,MRC
5,7/5,TE,Wolves
5,7/5,WBG,ACT
5,7/5,FPX.ZQ,GW
6,7/10,TE,GG
6,7/10,MRC,FPX.ZQ
6,7/10,GR,ACT
6,7/11,WBG,FPX.ZQ
6,7/11,DOU5,GR
6,7/11,Wolves,TE
6,7/12,GW,MRC
6,7/12,GG,ACT
6,7/12,Wolves,WBG
7,7/16,DOU5,GG
7,7/16,MRC,Wolves
7,7/16,TE,GR
7,7/17,ACT,FPX.ZQ
7,7/17,GR,GW
7,7/17,MRC,GG
7,7/18,WBG,TE
7,7/18,DOU5,FPX.ZQ
7,7/18,GW,Wolves
7,7/19,MRC,TE
7,7/19,GG,WBG
7,7/19,GW,ACT
8,7/23,ACT,Wolves
8,7/23,GW,DOU5
8,7/23,MRC,WBG
8,7/24,Wolves,DOU5
8,7/24,TE,ACT
8,7/24,GG,GR
8,7/25,Wolves,GG
8,7/25,GW,FPX.ZQ
8,7/25,DOU5,ACT
8,7/26,GR,MRC
8,7/26,WBG,GW
8,7/26,FPX.ZQ,TE
9,7/30,GR,FPX.ZQ
9,7/30,DOU5,TE
9,7/30,ACT,MRC
9,7/31,DOU5,WBG
9,7/31,Wolves,GR
9,7/31,GG,FPX.ZQ
9,8/1,TE,GW
9,8/1,Wolves,FPX.ZQ
9,8/1,ACT,WBG
9,8/2,MRC,DOU5
9,8/2,GG,GW
9,8/2,GR,WBG
