match_id,team_a,team_b,winner,match_score,game_scores,mvp
1119076234620305414,Wolves,WBG,Wolves,1-0,4:4 | 5:3 | 4:4,Wolves_487
1119108743271809026,GG,MRC,MRC,1-2,5:3 | 2:7 | 3:5,MRC_BaiLu
1119145890410397730,Gr,FPX.ZQ,Gr,2-0,7:2 | 4:4 | 5:3,Gr_Jin
1119444382060118017,DOU5,TE,DOU5,1-1,7:2 | 5:5 | 3:5,DOU5_mhxm
1119467854076313602,ACT,GW,ACT,2-0,7:2 | 8:1,ACT_zz9
1119491270242205715,Wolves,MRC,MRC,0-2,2:7 | 3:5,MRC_BaiLu
1119817262504607744,DOU5,FPX.ZQ,DOU5,2-0,7:2 | 4:4 | 6:3,DOU5_mhxm
1119841133960101896,WBG,GG,WBG,2-0,5:3 | 5:3,WBG_Persica
1119874583151771664,TE,ACT,TE,2-0,5:3 | 4:4 | 5:3,TE_Drop
1120175351106895889,Gr,GW,Gr,2-0,6:3 | 5:3,Gr_Jin
1120208976437313544,Wolves,GG,GG,0-1,4:4 | 3:5 | 4:4,GG_18
1120233595175174144,WBG,TE,WBG,2-0,6:3 | 5:3,WBG_Nle
1120557397037809718,MRC,DOU5,MRC,2-1,8:1 | 2:7 | 8:1,MRC_BaiLu
1120589364530774040,Gr,ACT,Gr,2-1,3:5 | 8:1 | 5:3,Gr_Red
1120612076293718054,FPX.ZQ,GW,FPX.ZQ,2-0,5:3 | 5:3,FPX.ZQ_Yuan
1122048751464087585,Gr,MRC,MRC,1-1,5:3 | 3:5 | 4:4 | 4:4,MRC_Nanako
1122082411071406102,WBG,FPX.ZQ,FPX.ZQ,1-2,3:5 | 6:2 | 3:5,FPX.ZQ_lin
1122116427243847698,Wolves,DOU5,Wolves,2-0,5:5 | 5:3 | 7:2,Wolves_487
1122411658966204417,ACT,GG,GG,0-1,4:4 | 4:4 | 1:8,GG_xawm
1122435045066276867,MRC,FPX.ZQ,MRC,2-0,8:1 | 8:1,MRC_BaiLu
1122468812140052500,Wolves,TE,Wolves,2-0,7:2 | 4:4 | 6:3,Wolves_ChoAi
1122771431235518516,ACT,WBG,WBG,0-2,3:5 | 3:5,WBG_Guoker
1122805026477047813,GW,TE,GW,3-0,10:0 | 4:4 | 5:3 | 10:0,GW_Lancelot
1122827828456325122,Gr,GG,Gr,2-0,7:2 | 5:3,Gr_Jin
1124637341081665553,DOU5,GW,DOU5,2-0,4:4 | 7:2 | 8:1,DOU5_mhxm
1124670408078917670,Wolves,FPX.ZQ,Wolves,1-1,3:6 | 4:4 | 8:1,Wolves_487
1124703071282135078,MRC,ACT,MRC,1-0,4:4 | 4:4 | 5:3,MRC_BaiLu
1125008576576749574,TE,GG,TE,2-0,5:3 | 4:4 | 7:2,TE_Maom
1125041647887843331,DOU5,Gr,Gr,1-2,5:3 | 3:5 | 2:6,Gr_Jin
1125064724692598790,GW,WBG,WBG,0-2,3:5 | 2:7,WBG_Nle
1125370084029628423,Wolves,Gr,Gr,0-2,2:7 | 3:6,Gr_Jin
1125395093589590020,MRC,WBG,MRC,2-0,5:3 | 7:2,MRC_BaiLu
1125419574882205715,GG,GW,GG,2-0,6:2 | 8:1,GG_ppxia
1127236174290616327,DOU5,ACT,DOU5,2-1,5:3 | 2:6 | 6:3,DOU5_mhxm
1127269713657724928,FPX.ZQ,TE,TE,0-1,4:4 | 1:8 | 4:4,TE_ppei
1127293817066618880,WBG,Gr,Gr,0-2,3:5 | 2:7,Gr_Jin
1127614363325169683,Wolves,GW,Wolves,1-0,4:4 | 4:4 | 4:4 | 7:2,Wolves_ChoAi
1127637886885167202,TE,MRC,TE,2-0,6:3 | 5:3,TE_ppei
1127672165004476466,GG,DOU5,GG,2-1,5:3 | 2:7 | 5:3,GG_18
1127967538523668504,ACT,FPX.ZQ,ACT,1-0,5:3,ACT_zz9
1128001683496894516,WBG,DOU5,WBG,2-1,7:2 | 3:5 | 7:2,WBG_Nle
1128025709549191188,MRC,GW,MRC,2-0,5:3 | 5:3,MRC_BaiLu
1129831580047507463,Wolves,ACT,ACT,1-1,5:3 | 1:8 | 4:4,ACT_zz9
1129876544095780885,TE,Gr,Gr,1-2,6:3 | 3:6 | 2:7,Gr_Jin
1129911470780317717,GG,FPX.ZQ,GG,1-1,3:5 | 4:4 | 7:2,GG_xawm
1130214888693563400,DOU5,WBG,WBG,0-1,4:4 | 4:4 | 4:4 | 2:6,WBG_Guoker
1130248741620547588,GW,GG,GG,1-1,5:3 | 2:7 | 4:4,GG_18
