match_id,team_a,team_b,winner,match_score,game_scores,mvp
1075287239166001177,Gr,Wolves,Gr,2-0,4:4 | 5:3 | 7:2,Gr_Jin
1075312399077081094,WBG,GG,WBG,2-0,6:2 | 5:3,WBG_Nle
1075337881128534024,MRC,FPX.ZQ,MRC,2-0,7:2 | 6:2,MRC_BaiLu
1075703511677665299,GW,ACT,ACT,1-2,5:3 | 1:8 | 2:7,ACT_zz9
1075738227927678994,DOU5,GG,GG,1-2,5:3 | 3:5 | 0:10,GG_xawm
1076015893255815188,MRC,TE,MRC,2-0,7:2 | 6:3,MRC_BaiLu
1076051051852857367,GW,FPX.ZQ,FPX.ZQ,0-2,2:7 | 4:4 | 3:5,FPX.ZQ_DongX
1076073128001536021,DOU5,Gr,Gr,0-2,2:7 | 1:8,Gr_Jin
1077871241786818576,ACT,DOU5,ACT,2-0,7:2 | 7:2,ACT_zz9
1077906512109633537,Wolves,GW,Wolves,1-0,4:4 | 6:3 | 4:4,Wolves_487
1077940081566679065,FPX.ZQ,GG,GG,1-2,3:6 | 5:3 | 2:6,GG_xawm
1078242064968187920,WBG,MRC,MRC,0-2,2:7 | 2:6,MRC_BaiLu
1078277816293785608,GW,Gr,GW,1-0,5:5 | 6:2 | 4:4,GW_tzym
1078300377783205889,TE,ACT,TE,2-0,6:3 | 5:3,TE_ppei
1078612681998467090,WBG,Gr,Gr,0-2,3:5 | 2:7,Gr_Jin
1078645998098579480,Wolves,GG,Wolves,2-0,5:3 | 4:4 | 5:3,Wolves_xmx
1078679477362360326,TE,DOU5,DOU5,1-1,4:4 | 6:2 | 2:7,DOU5_mhxm
1080478506005037072,TE,GG,TE,2-1,5:3 | 3:5 | 5:3,TE_kesy
1080503678787387399,DOU5,FPX.ZQ,FPX.ZQ,0-2,3:6 | 3:5,FPX.ZQ_DongX
1080536500937949192,Wolves,MRC,Wolves,1-1,5:5 | 3:5 | 6:2,Wolves_ChoAi
1080837969016782868,GG,Gr,Gr,0-2,3:5 | 1:8,Gr_Jin
1080863820401868822,ACT,WBG,WBG,0-2,3:6 | 3:6,WBG_Nle
1080898751385567232,Wolves,TE,TE,1-2,2:7 | 5:3 | 3:5,TE_ppei
1081209505130217512,WBG,FPX.ZQ,WBG,2-0,7:2 | 5:3,WBG_Nle
1081242408909275137,GW,MRC,MRC,1-2,2:7 | 5:3 | 3:6,MRC_Nanako
1081267659023056902,Gr,ACT,Gr,2-0,10:0 | 5:3,Gr_AK
1083078065044586497,DOU5,GW,DOU5,2-0,4:4 | 8:1 | 6:2,DOU5_Chen
1083099342276919296,FPX.ZQ,TE,FPX.ZQ,2-0,7:2 | 6:3,FPX.ZQ_DongX
1083144817417912345,Wolves,ACT,Wolves,1-1,3:5 | 5:3 | 4:4 | 4:4,Wolves_487
1083447144434630664,MRC,Gr,Gr,0-2,5:5 | 2:7 | 1:8,Gr_Jin
1083479648788021265,Wolves,DOU5,Wolves,2-0,7:2 | 4:4 | 8:1,Wolves_ChoAi
1083510344883634180,TE,WBG,TE,2-1,7:2 | 3:5 | 5:3,TE_Drop
1083806272446267413,GW,GG,GG,0-2,3:6 | 2:7,GG_xawm
1083840563442090019,MRC,ACT,MRC,2-1,6:3 | 3:5 | 5:3,MRC_Nanako
1083902724521590789,Gr,FPX.ZQ,Gr,2-0,4:4 | 10:0 | 5:3,Gr_Jin
1085671881689792528,GW,TE,GW,1-1,3:5 | 4:4 | 6:2,GW_XingChen
1085693416624357428,GG,ACT,GG,2-0,5:3 | 5:3,GG_xawm
1085726496491831319,WBG,DOU5,WBG,1-1,3:5 | 4:4 | 8:1,WBG_Persica
1086040926712758272,GG,MRC,GG,2-1,6:3 | 3:5 | 5:3,GG_xawm
1086083940823859273,ACT,FPX.ZQ,FPX.ZQ,1-1,6:2 | 4:4 | 2:6 | 4:4,FPX.ZQ_DongX
1086115603322765362,WBG,GW,WBG,2-1,3:6 | 6:3 | 7:2,WBG_Nle
1086414945394884615,FPX.ZQ,Wolves,FPX.ZQ,1-1,6:3 | 3:5 | 4:4,FPX.ZQ_DongX
1086437493931245607,TE,Gr,Gr,0-2,2:7 | 2:7,Gr_Jin
1086459514257932292,DOU5,MRC,MRC,0-2,1:8 | 3:5,MRC_HuaC
1088267386257145860,GW,DOU5,DOU5,0-1,3:5 | 4:4 | 4:4,DOU5_Czai
1088299697291919376,TE,FPX.ZQ,TE,1-1,7:2 | 4:4 | 3:5,TE_ppei
